Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;22304;ETIQ ADV BRANCA RUSSIA;ETIQ ADV BRANCA GENERICA RUSSIA80X100MM BOPP BRANCO C2075 PROJ BIGFRANGO;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;9;ETIQUETA;5000;0,05225111;261,25582;0;0;;ET;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;22307;ETIQ ADV BRANCA ME 85X50 MM;ETIQ ADV BRANCA ME 85X50 MM85X50MM  BOPP BCO  C 2075 PROJ BIGFRANGO;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;9;ETIQUETA;1012000;0,0331399;33537,58019;0;0;;ET;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;22348;ETIQ CAMARA/PRO AM 205X150MM;ETIQ CAMARAPRODUTO  AMARELA 205X150MMCORTE REFILO C FURO PAPEL DUPLEX 200G PROJ BIGFRANGO;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;99;PASSAGEM DIRETA               ;2750;0,4806925;1321,904375;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;22414;BOBINA LISA E PICOTADA LENC;FILME PEBD LISO E PICOTADO LENCINHO 1000X1200X0004 MM PROJ BIGFRANGO;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;5297;0,59697387;3162,170605;0;0;;EB;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;22517;SACO SANF LAT MAT DIR PE BD;SACO SANF LAT MAT DIR PE BD QUADRADO SOLDA FUNDO INCOLOR LARG SAN 20000MM LARG APARENTE 60000MM LARG TOT 100000MM COMP 87000MM ESP 0045MM;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;53800;0,87989256;47338,21998;0;0;;EB;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;26643;SACO MAT DIR POLIETILENO BAI;SACO MAT DIR POLIETILENO BAIXA DENSIDADE P122 FRANGOSUL CFUN QUAD LAT TR IMPR EXT GEN 70000MM 45000MM 009MM;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;45959;0,70623968;32458,06966;0;0;;EB;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;55122;FILME TERMOF FUNDO 0,15;FILME TERMOF FUNDO MATERIAL POLIAMIDA POLIETILENO BAIXA DENSIDADE MEDIA BARREIRA COR INCOLOR AVES TP CG LARGURA 36000MM ESPESSURA 015MM;MT;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;48;FILME PARA TERMOFORMADORA;6087;1,34458282;8184,475625;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;63116;SACO MAT DIR POLIETILENO BAI;SACO MAT DIR POLIETILENO BAIXA DENSIDADEPOLIETILENO LINEAR P70 FRANGOSUL CFUN QUAD LAT TR IMPR EXT GEN 70000MM 45000MM 009MM;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;58585;0,42385329;24831,44477;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;63171;ETIQ N/AD C/IMP AMARELO MP;ETIQUETA NAO ADESIVA CIMPRESSAO AMARELO MODELO ESCRITO  MATÉRIA PRIMA MATERIAL DIRETO POLIETILENO ALTA DENSIDADE GRAM PAPELESP 120 MICRAS COMPRIMENTO 210 MM LARGURA 80 MM;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;9;ETIQUETA;16000;0,17404475;2784,716;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;64674;FILME PL PEBD/PEBDL;FILME PL PEBDPEBDL 998292 TRANSPARENTE LARGURA 53000MM ESPESSURA 0060MM PASSO 35000MM SEARA MERCADO EXTERNO SIF GEN;KG;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;1694,799;32,41497737;54936,87123;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;65981;FILME TAMPA MAT PET PE PRETO;FILME TAMPA MAT PET PE COR PRETO 34000MM 0070MM PRODUTO CORTES TEMPERADOS MERCADO INTERNO MARCA SEARA  GOURMET SIF GENERICO;MT;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;48;FILME PARA TERMOFORMADORA;22995,2;0,87766383;20182,05531;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67044;FOLHA MAT DIR PE AD 450 600;FOLHA MAT DIR PE AD 450 600 0020 MM FORNEC FOLHA PLAST EM FOLHAS;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;62000;0,19492249;12085,19412;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67131;ETIQUETA AD IDENTIFICACAO;ETIQUETA AD TIPO IMPR FLEX BOPP HOT MELT 996001 EXT COMP 7000MM LARG 3000MM SIF GEN DIPOA GEN;PC;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;9;ETIQUETA;15000;0,01333675;200,04875;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67143;SACO MAT DIR POLIETILENO BAI;SACO MAT DIR POLIETILENO BAIXA DENSIDADE LINEAR 996028 SEARA RET LATERAL CBAINHA  TR IMPR EXPORT LARGURA 250MM COMPRIMENTO 340MM ESPESSURA 016MM;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;55086;0,33389196;18392,77265;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67464;SACO MATERIAL DIRETO PE BD P;SACO MATERIAL DIRETO POLIETILENO DE BAIXA DENSIDADE POLIETILENO DE ALTA DENSIDADE ERUCAMIDA S ZIPER 995887 MARCA SEARA AZUL CFUNDO REDONDO SOLD LAT SIMP IMPRESSO MERCADO EXTERNO LARG 43000MM COMP 67000MM ESP 020MM SABA SSANF;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;29029;1,19768895;34767,71251;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67859;FILME PL PE BD INCOL;FILME PL PE BD 929883 INC LARGURA 49000 MM ESPESSURA 006 MM PASSO 25000 MM BIG MERCADO INTERNO SIF GEN;KG;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;4;FILME COEX/LAMINADOS;3430,551;26,98377565;92569,21852;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67867;SACO MAT DIR PEBD MONOCAMADA;SACO MAT DIR PEBD 32421ALM BIG FRANGO TRANSP QUAD LAT SIMP IMPR MERC INT GEN LARG 22000MM COMP25000MM 01200MM;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;163161;0,20081421;32765,04758;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67929;FILME PEBDL 963925 DRUMET CG;FILME PEBD PEBDL 963925 DRUMETTE CG BIGFRANGO 490X230X0040 MM;KG;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;84,54;31,11462358;2630,430279;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67942;SACO MATERIAL DIRETO PE BD P;SACO MATERIAL DIRETO POLIETILENO DE BAIXA DENSIDADE POLIETILENO DE ALTA DENSIDADE ERUCAMIDA S ZIPER RESFGENERICO MARCA SEARA AZUL CFUNDO REDONDO SOLD LAT SIMP IMPRESSO MERCADO EXTERNO LARG 43000MM COMP 67000MM ESP 020MM SABA SSANF;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;29880,6;1,22328234;36552,41019;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;1;EMBALAGENS PRIMARIAS;67947;FILME PEBDL 490MM COXAS;FILME PEBD PEBDL 963879 COXAS CG BIGFRANGO 490X280X0040 MM;KG;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;512,398;25,74054366;13189,40309;;;;;;
