Chave Filial;Data;Area;Cd Local Estoque;Filial;Item;Nome Diretoria;Nome Grupo;Nome Agrupado;Nome Classe;Nome Cluster;Nome Complexo;Nome Regional;Nome SubGrupo;Nome Utilização;Consumo Meta;Consumo Real;Excesso;Giro Meta;Giro Real;Giro sem Excesso;Saldo Meta;Saldo Real;Saldo sem Excesso;Saldo Qtd;Consumo Qtd
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;14061 - PAPEL CREPONADO ONDUL CASP;N/D;Gerenciaveis;Total Gerenciaveis;INCUBATORIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INCUBACAO;EMBALAGENS;0;41,61613365;0;-;32,52498829;32,52498829;0;45,11880865;45,11880865;225;245
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;15051 - BANDEJA PAPELAO PARA 30 OVOS;N/D;Gerenciaveis;Total Gerenciaveis;INCUBATORIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INCUBACAO;EMBALAGENS;0;27,76932625;0;-;16,09195384;16,09195384;0;14,89542388;14,89542388;28;52,2
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;22304 - ETIQ ADV BRANCA RUSSIA;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1,88104023;1,88104023;36;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;22307 - ETIQ ADV BRANCA ME 85X50 MM;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;20,73405297;20,73405297;572;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;22414 - BOBINA LISA E PICOTADA LENC;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;6,714165131;6,714165131;11,247;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;22515 - EMB PLAST P CAIXA PAPELAO AZ;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2,663964466;2,663964466;0,32;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;22517 - SACO SANF LAT MAT DIR PE BD;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;39,37122679;39,37122679;53,04;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;26643 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;32,94717229;32,94717229;62,626;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;"58531 - TOUCA CAPILAR;DESCARTAVEL;TN";N/D;Gerenciaveis;Total Gerenciaveis;TOUCAS, GORROS E BONES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;UNIFORMES & PERTENCES;AUXILIARES DA INDUSTRIA;0;0;0;-;-;-;0;0,074;0,074;0,004;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;63116 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;24,83144477;24,83144477;58,585;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;63157 - SACO MATERIAL DIRETO PE BD P;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3,030069292;3,030069292;3,282;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;63171 - ETIQ N/AD C/IMP AMARELO MP;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2,784716;2,784716;16;0
30|704;Abr 2026;Administrativo;1;ROLANDIA - AB. AVES;64674 - FILME PL PEBD/PEBDL;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;15,26981235;15,26981235;0,611179;0
