Chave Filial;Data;Area;Cd Local Estoque;Filial;Item;Nome Diretoria;Nome Grupo;Nome Agrupado;Nome Classe;Nome Cluster;Nome Complexo;Nome Regional;Nome SubGrupo;Nome Utilização;Consumo Meta;Consumo Real;Excesso;Giro Meta;Giro Real;Giro sem Excesso;Saldo Meta;Saldo Real;Saldo sem Excesso;Saldo Qtd;Consumo Qtd
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;14061 - PAPEL CREPONADO ONDUL CASP;N/D;Gerenciaveis;Total Gerenciaveis;INCUBATORIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INCUBACAO;EMBALAGENS;0;0;0;-;-;-;0;71,882726;71,882726;390;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;14871 - FITA DUPLA FACE 25X20 (3M);N/D;Gerenciaveis;Total Gerenciaveis;MATERIAIS DE EXPEDIENTE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;MATERIAIS DE EXPEDIENTE;MATERIAIS ADMINISTRATIVOS;0;0;0;-;-;-;0;0,94;0,94;0,01;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;15051 - BANDEJA PAPELAO PARA 30 OVOS;N/D;Gerenciaveis;Total Gerenciaveis;INCUBATORIO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INCUBACAO;EMBALAGENS;0;13,15554653;0;-;65,44751746;65,44751746;0;28,69992871;28,69992871;50,4;31,4
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;22304 - ETIQ ADV BRANCA RUSSIA;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;1,88104023;1,88104023;36;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;22307 - ETIQ ADV BRANCA ME 85X50 MM;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;33,41715173;33,41715173;980;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;22414 - BOBINA LISA E PICOTADA LENC;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;4,957079821;4,957079821;7,7;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;22515 - EMB PLAST P CAIXA PAPELAO AZ;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;27,7635046;27,7635046;3,335;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;22517 - SACO SANF LAT MAT DIR PE BD;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;48,00697926;48,00697926;70,4;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;26643 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;40,64741183;40,64741183;75,001;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;"58531 - TOUCA CAPILAR;DESCARTAVEL;TN";N/D;Gerenciaveis;Total Gerenciaveis;TOUCAS, GORROS E BONES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;UNIFORMES & PERTENCES;AUXILIARES DA INDUSTRIA;0;0,0185;0;-;150;150;0;0,0925;0,0925;0,005;0,001
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;63116 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;24,83144477;24,83144477;58,585;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;63157 - SACO MATERIAL DIRETO PE BD P;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3,030069292;3,030069292;3,282;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;63171 - ETIQ N/AD C/IMP AMARELO MP;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;3,377135;3,377135;20;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;64674 - FILME PL PEBD/PEBDL;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;34,74847342;34,74847342;1,376748;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;67044 - FOLHA MAT DIR PE AD 450 600;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0,145913961;0,145913961;1;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;67131 - ETIQUETA AD IDENTIFICACAO;N/D;Gerenciaveis;Total Gerenciaveis;ETIQUETA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;0,20004875;0,20004875;15;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;67143 - SACO MAT DIR POLIETILENO BAI;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;18,39277265;18,39277265;55,086;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;67464 - SACO MATERIAL DIRETO PE BD P;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;80,85404441;80,85404441;86,782;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;67859 - FILME PL PE BD INCOL;N/D;Gerenciaveis;Total Gerenciaveis;FILME COEX/LAMINADOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;2,168735227;2,168735227;0,1206682;0
30|704;Dez 2025;Administrativo;1;ROLANDIA - AB. AVES;67867 - SACO MAT DIR PEBD MONOCAMADA;N/D;Gerenciaveis;Total Gerenciaveis;EMBAL FLEXÍVEL PE;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;EMBALAGENS P/ INDUSTRIA;EMBALAGENS;0;0;0;-;-;-;0;7,188985817;7,188985817;43,653;0
