Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
abril;516;ROLANDIA - FFO;12538;SACO C/IMP MATERIAL POLIPROP;1;PRODUTOS QUIMICOS;-3000;-477,01864;-3000
abril;516;ROLANDIA - FFO;14687;ACOPLAMENTO 2P+T 16A 220/240;3;MANUTENÇÃO;-9;-382,3391667;-9
abril;516;ROLANDIA - FFO;15467;FECHADURA STAM 804 CR;3;MANUTENÇÃO;-3;-570;-3
abril;516;ROLANDIA - FFO;46919;ARRUELA CIRC 1/2 304 PASS B;3;MANUTENÇÃO;-13;-4,29;-13
abril;516;ROLANDIA - FFO;65143;ANTI OX COMP BHA BHT;100;LINHA DE PRODUÇÃO;-2662,6106;-80993,72471;-2662,6106
abril;516;ROLANDIA - FFO;83931;BOTA SEGURANCA;4;UNIFORMES E EPI'S;-2;-239,0915;-2
abril;516;ROLANDIA - FFO;92952;"DOCE COCO;COCADA BRANCA;PCT ";625;REFEITORIO;-5;-268;-5
abril;516;ROLANDIA - FFO;95848;"KETCHUP;FRASCO 1KG";625;REFEITORIO;-1;-10,76142858;-1
abril;516;ROLANDIA - FFO;102088;FUSIVEL NH CORRENTE 315A TEN;3;MANUTENÇÃO;-7;-455,385;-7
abril;516;ROLANDIA - FFO;109753;FOTOCEL ILUM EX 220V 220V EX;3;MANUTENÇÃO;-2;-96,77519319;-2
abril;516;ROLANDIA - FFO;141481;"AZEITONA;VERDE;S/CAROÇO;FRAS";625;REFEITORIO;-5;-50;-5
abril;516;ROLANDIA - FFO;147149;"MACARRAO;AVE MARIA;PCT 500G";625;REFEITORIO;-4;-11,96;-4
abril;516;ROLANDIA - FFO;154288;ESTATOR DA BOMBA NEMO NETZSC;3;MANUTENÇÃO;-1;-3136,315;-1
abril;516;ROLANDIA - FFO;159812;"CILINDRO P/FECHADURA;P/CHAVE";3;MANUTENÇÃO;-2;-156;-2
abril;516;ROLANDIA - FFO;169863;PROTETOR AURICULAR TIPO CONC;4;UNIFORMES E EPI'S;-1;-271,7917273;-1
abril;516;ROLANDIA - FFO;186230;CAVACO A EUCALIPTO SECO UMID;2;LENHA;-2227,54;-666778,8242;-2227,54
abril;516;ROLANDIA - FFO;192450;"PA P/LIXO;ALUMINIO;NATURAL;C";5;MATERIAIS ADMINSTRATIVOS;-1;-49,9;-1
abril;516;ROLANDIA - FFO;207136;CORREIA TRANSM V N SECAO UNI;3;MANUTENÇÃO;-2;-36,16916666;-2
abril;516;ROLANDIA - FFO;207195;CORREIA TRANSM V N SECAO UNI;3;MANUTENÇÃO;-1;-19,71058873;-1
abril;516;ROLANDIA - FFO;207594;CORREIA TRANSM V N SECAO UNI;3;MANUTENÇÃO;-16;-1262,558769;-16
abril;516;ROLANDIA - FFO;217932;"PURE DE BATATA;A GRANEL";625;REFEITORIO;-11;-373,4493081;-11
abril;516;ROLANDIA - FFO;220280;ALCOOL 70%;1;PRODUTOS QUIMICOS;-33;-255,2094441;-33
abril;516;ROLANDIA - FFO;229571;FUSIVEL NH00 63A 3NA3 822;3;MANUTENÇÃO;-1;-25,255;-1
