Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;4.181;PA ACO INOX P/COLETA DE LIXO;PA EM ACO INOX PCOLETA DE LIXO JBS AVES;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;26;PARAFUSOS E PORCAS;0;7,06333334;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;8154;GRAXA PASTOSO VER ODOR CARAC;GRAXA PASTOSO VER ODOR CARACT BASE SINTETICA PONTO FULG 250C DENS 900GM3 SOLUBILID INSOLUVEL AG FORNEC BAL 18KGALTIS SH 2 TOTAL LUBRIFIICANTES;UN;2;MATERIAIS GERAIS USO/CONSUMO;6;COMBUSTIVEIS E LUBRIFICANTES;66;COMBUSTIVEIS LUBRIFICANTES    ;0;1384,1125;0;0;0;;0;0;0
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;10343;SACO R BIG BAG 940X940X1900M;SACO RAFIA BIG BAG CIMPRES  SACO DE RAFIA FUNDO FECHADO COSTURADO COM FIO LAMINADO COM SAIA SUPERIOR 4 ALCAS COM IMPRESSAO  SEM SIMBOLO SIF SEM MARCA 940X940X1900MM ;PC;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;0;44,17146667;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;12538;SACO C/IMP MATERIAL POLIPROP;SACO CIMP MATERIAL POLIPROPILENO FUNDO CFUNDO QUADRADO SOLDA LATERAL  FUNDO COR INCOLOR LARGURA 16800MM COMPRIMENTO 35000MM ESPESSURA 010MM;UN;4;MATERIAIS ADMINISTRATIVOS;1;FORMULARIOS CONTINUOS;66;FORMULARIOS                   ;0;0,2533;0;2500;1250;1250;B5;2;1
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;14251;OLEO 2 TEMPOS CASTROL;OLEO 2 TEMPOS CASTROL STHIL 500 ML;UN;2;MATERIAIS GERAIS USO/CONSUMO;6;COMBUSTIVEIS E LUBRIFICANTES;2;OLEOS LUBRIFICANTE            ;0;70,595;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;14687;ACOPLAMENTO 2P+T 16A 220/240;ACOPLAMENTO 2PT 16A 220240V STECK IP44 ;UN;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;40;TOMADAS;0;21,68116667;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;15211;SODA CAUSTICA LIQ ONU 1824;SODA CAUSTICA LIQUIDA ONU 1824 ;KG;1;MATE.PRIMA / INSUMOS;17;PROD. P/ TRATAMENTO DE AGUA;1;QUIMICOS E OUTROS;0;2,81414851;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;15443;CLORETO FERRICO;CLORETO FERRICO ;KG;1;MATE.PRIMA / INSUMOS;17;PROD. P/ TRATAMENTO DE AGUA;1;QUIMICOS E OUTROS;0;1,362;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;15856;POST-IT 38X51MM COM 4 BLOCOS;POSTIT 38X51MM COM 4 BLOCOS ;UN;4;MATERIAIS ADMINISTRATIVOS;2;MATERIAIS DE EXPEDIENTE;2;MATERIAIS DE EXPEDIENTE       ;0;3,2;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;20878;ALCOOL ETIL HIDRATADO 46,2O;ALCOOL ETILICO HIDRATADO 462O INPM 54O GL FRASCO DE 1 LITRO  MACEDO;LT;4;MATERIAIS ADMINISTRATIVOS;3;MATERIAIS DE HIGIENE E LIMPEZA;9;AUXILIAR DE LIMPEZA           ;0;6,22722223;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;21715;SEQUESTRANTE AZ-1130 KURITA;SEQUESTRANTE DUREZA PCALDEIRA AZ1130 KURITA MACEDO;KG;1;MATE.PRIMA / INSUMOS;18;PROD. P/ TRATAMENTO CALDEIRAS;1;QUIMICOS;640;33,01224325;21127,83568;300;100;;Q3;1;1
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;22415;BOBINA LISA PICOT 60X40X0,6;FILME PEBD LISO PICOTADO 600X400X06 MM ROLO COM 400 SC PROJ BIGFRANGO;UN;1;MATE.PRIMA / INSUMOS;3;EMBALAGENS P/ INDUSTRIA;16;EMBAL FLEXÍVEL PE;0;22,1319;0;0;0;;0;0;0
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;23511;CLEAN AMONIC;CLEAN AMONIC  DETERGENTE AMONIACO CLEAN AMONIC  DETERGENTE AMONIACO LIQUIDO PRODUTO DE LIMPEZA BRANCA GALAO DE 05 LTS NEW DROP HIGIENIZACAO DE BANHEIROSLOUCAS PROJ BIGFRANGO;LT;2;MATERIAIS GERAIS USO/CONSUMO;16;MAT. HIGIENIZACAO INDUSTRIAL;1;DETERGENTES                   ;0;5,62;0;0;0;;0;0;0
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;23578;B-2100 UMEC - DET. UMECTANTE;DETERGENTE UMECTANTE B2100 UMEC  DETERGENTE UMECTANTE PASTOSO SABAO INCOLOR BALDE DE 20 KG NEW DROP PRODUTO P LAVANDEIRAUNIFORMES PROJ BIGFRANGO;LT;4;MATERIAIS ADMINISTRATIVOS;3;MATERIAIS DE HIGIENE E LIMPEZA;4;DETERGENTES E SABAO           ;0;11,69559703;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;23793;SABAO GRANULADO B 2700;SABAO GRANULADO B 2700 LAV  SABAO GRANULADO GRANULADO PRODUTO DE LIMPEZA AZUL BALDE DE 20 KG NEW DROP HIGIENIZACAO DE UNIFORMES PROJ BIGFRANGO;KG;4;MATERIAIS ADMINISTRATIVOS;3;MATERIAIS DE HIGIENE E LIMPEZA;4;DETERGENTES E SABAO           ;0;9,91187545;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;24593;PET - OX RC LIQUIDO;PET  OX RC LIQUIDO ANTIOXIDANTE ESPEFICIFICO FORN KEMIN  PROJ BIGFRANGO;KG;1;MATE.PRIMA / INSUMOS;2;ADITIVOS E CONDIMENTOS;3;ANTIOXIDANTE;0;49,5069392;0;0;0;0;0;0;0
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;40288;GAS GLP GRANEL;GAS GLP GRANEL;KG;1;MATE.PRIMA / INSUMOS;9;AUXILIARES DA INDUSTRIA;8;GASES COMBUSTIVEIS;0;5,07860266;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;47550;CAIXA ARQ MORTO KRAFT 300X18;CAIXA ARQUIVO MORTO MODELO DESMONTAVEL MATERIAL PAPELAO KRAFT GRAMATURA 400 GM2 IMPRESSAO SEM IMPRESSAO VISOR SEM VI PROJETO BUNGE;UN;4;MATERIAIS ADMINISTRATIVOS;2;MATERIAIS DE EXPEDIENTE;2;MATERIAIS DE EXPEDIENTE       ;0;3,05;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;59524;ANTIOXIDANTE NATURAL SOJA;BLEND DE ANTIOXIDANTES NATURAIS BASE SOJA;GR;1;MATE.PRIMA / INSUMOS;25;AUXILIARES DE SUB-PRODUTOS;1;QUIMICOS;0;0,174813;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;61095;"SOLUCAO LIMPEZA;PO;KURITA/KD";SOLUCAO LIMPEZAPOKURITAKD1500;KG;4;MATERIAIS ADMINISTRATIVOS;3;MATERIAIS DE HIGIENE E LIMPEZA;3;LIMPEZA                       ;0;16,112;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;61213;"INIBIDOR INCRUSTACAO;KURITA/";INIBIDOR INCRUSTACAOKURITABC353;KG;2;MATERIAIS GERAIS USO/CONSUMO;16;MAT. HIGIENIZACAO INDUSTRIAL;3;DESINFETANTES;0;88,51655556;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;62188;INIBIDOR CORROSAO/INCRUSTACA;INIBIDOR CORROSAOINCRUSTACAO KURITA KURITA BC695;BB;1;MATE.PRIMA / INSUMOS;18;PROD. P/ TRATAMENTO CALDEIRAS;1;QUIMICOS;46;732,2915386;33685,41078;36;12;;6;11;1
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;65143;ANTI OX COMP BHA BHT;RENDOX AT 20 LIQUIDO HIDROXIDO DE ANIZOLA BUTILADO BHA HIDROXIDO DE TOLUENO BUTILADO BHT OLEO VEGETAL;LT;1;MATE.PRIMA / INSUMOS;2;ADITIVOS E CONDIMENTOS;3;ANTIOXIDANTE;600;27,24654801;16347,9288;3000;1000;;1;12;1
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;67501;REDOX LIQUID AD;COADJUVANTE DE PRODUCAO;LT;1;MATE.PRIMA / INSUMOS;2;ADITIVOS E CONDIMENTOS;3;ANTIOXIDANTE;1750;27,52625261;48170,94206;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;67633;ANTI-INCRUSTANTE LIQUIDO 50L;ANTIINCRUSTANTE LIQUIDO AZUL PH 20 A 40 BOMBONA 50L PERPLUS AL3100  PERMUTION;LT;1;MATE.PRIMA / INSUMOS;17;PROD. P/ TRATAMENTO DE AGUA;1;QUIMICOS E OUTROS;350;9,79085714;3426,8;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;75785;SAL CURB RM EXTRA LIQUIDO;ADITIVO CONSERVANTE LIQUIDO;LT;1;MATE.PRIMA / INSUMOS;2;ADITIVOS E CONDIMENTOS;3;ANTIOXIDANTE;0;5,57341;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;76446;NATUROX® R30 LIQUID;NATUROX R30 LIQUID;KG;1;MATE.PRIMA / INSUMOS;25;AUXILIARES DE SUB-PRODUTOS;1;QUIMICOS;0;199,881;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;82900;ANTIESPUMANTE (FFO)AD-VP800;ANTIESPUMANTE FFO ADVP800  BB 2050KG;KG;1;MATE.PRIMA / INSUMOS;2;ADITIVOS E CONDIMENTOS;88;MATERIAIS AUXILIARES;80;44,046375;3523,71;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;83308;SEQUESTRANTE DE CLORO;SEQUESTRANTE DE CLORO PARA SISTEMA DE OSMOSE REVERSA KURIVERTER AC427 COD 1409 EMBALAGEM DE 50LT;KG;1;MATE.PRIMA / INSUMOS;17;PROD. P/ TRATAMENTO DE AGUA;1;QUIMICOS E OUTROS;200;6,00545;1201,09;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;84119;METHANO PRO S63;METHANO PRO S63;LT;1;MATE.PRIMA / INSUMOS;19;PROD. P/ TRATAMENTO E.T.E.;1;QUIMICOS;24;85,22068333;2045,2964;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;100435;BATERIA REC LITIO ION 7,2V;BATERIA RECARREGAVEL TAMANHO 120X60X16MM TIPOCLASSIFICACAO LITIO IONIZADO CAPACIDADE 72V 1600MA;UN;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;15;BATERIAS;0;308,75;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;102781;PANO LIMPEZA 9317P BETTANIN;PANO LIMPEZA MATERIALCONSTRUTIVO ALGODAO DIMENSAO 330X300000CM COR LARANJA DETALHEFORNECIMENTO RL 300M DETALHECONSTRUTIVO SDETALHE REFERENCIA 9317P NOMEFABRICANTE BETTANIN;RL;4;MATERIAIS ADMINISTRATIVOS;3;MATERIAIS DE HIGIENE E LIMPEZA;3;LIMPEZA                       ;0;109,71;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;106094;CLORETO FERRICO 38% LIQUIDO ;CLORETO FERRICO 38 LIQUIDO MARROM ODOR CARACTERISTICO 05PH PONTO EBULICAO 100C DENSIDADE 002141GCM3 SOLUVEL AGUA FORNECIMENTO A GRANEL;KG;1;MATE.PRIMA / INSUMOS;19;PROD. P/ TRATAMENTO E.T.E.;1;QUIMICOS;0;0,713;0;0;0;;0;0;0
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;108056;"ESCOVA ROT AC 5X1/2"" 2.1/2""";ESCOVA ROTATIVA TIPO TUBULAR MATERIALARAME ACO CARBONO ONDULADO DIMENSAO 5X12 DIAMETROARAME 040MM CARACTERISTICAADICIONAL FACE LISA TORCAO SIMPLES DIAMETROFURO 212;PC;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;7;FERRAMENTAS, ABRASIVO E CORTE ;0;13,44;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;112557;COMPOSTO DE BACTERIAS E ENZI;COMPOSTO DE BACTERIAS E ENZIMASAD FOODSREDOX LIQUID AD;UN;2;MATERIAIS GERAIS USO/CONSUMO;9;MATERIAIS ESPECIAIS;10;ETA E LABORATORIO             ;0;29,774655;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;119381;"DETERGENTE;HIGEX/CLEANGEX AF";DETERGENTEHIGEXCLEANGEX AF520PLUS55KG;BB;2;MATERIAIS GERAIS USO/CONSUMO;16;MAT. HIGIENIZACAO INDUSTRIAL;1;DETERGENTES                   ;0;1952,355;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;128347;"DISPERSANTE;KURITA/BC151L BB";DISPERSANTEKURITABC151L BB 50KG;UN;4;MATERIAIS ADMINISTRATIVOS;3;MATERIAIS DE HIGIENE E LIMPEZA;3;LIMPEZA                       ;0;29,21822222;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;145246;SAL CURB DRY;SAL CURB DRY;KG;1;MATE.PRIMA / INSUMOS;25;AUXILIARES DE SUB-PRODUTOS;1;QUIMICOS;0;13,98839042;0;0;0;;0;0;0
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;149225;PISSETA MATERIAL CORPO POLIE;PISSETA MATERIAL CORPO POLIETILENO MATERIAL TAMPA POLIPROPILENO MATERIAL BICO POLIPROPILENO TIPO BICO CURVO CONVENCIONAL GRAD CGRAD COR FRAS TR CAPACID 500ML PERSON PISSETA SPER;UN;2;MATERIAIS GERAIS USO/CONSUMO;20;MATERIAIS DE LABORATORIO;3;EQUIPAMENTOS E VIDRARIAS;0;7,429;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;161047;RESPIRADOR/MASCARA SEMIFACIA;RESPIRADORMASCARA SEMIFACIAL DESCARTAVEL MATERIAL MANTA SINTETICA CARVÃO ATIVADO COM VALVULA EXALACAO REFORCO TELA FIBRA SINTETICA FIXACAO ELASTICO DUPLO CLASSE PFF2 TAMANHO M FORMATO OVAL NORMA NBR 1369696  CA 9626  REF 8023;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;12;RESPIRADOR SEMI FACIAL;0;15,2798;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;178950;OLEO LUBRIFICANTE CARTER EP;OLEO LUBRIFICANTE CARTER EP 220;UN;2;MATERIAIS GERAIS USO/CONSUMO;6;COMBUSTIVEIS E LUBRIFICANTES;2;OLEOS LUBRIFICANTE            ;0;157,5355556;0;;;;;;
30;516;ROLANDIA - FFO;PROPRIO;1;PRODUTOS QUIMICOS;186230;CAVACO A EUCALIPTO SECO UMID;CAVACO A EUCALIPTO SECO UMID ABAIXO 40 CHIP 300500 CM FINO 5 USO COMBUS GERAC VAP APRESENT PICADO FORNEC TONELADA;TN;1;MATE.PRIMA / INSUMOS;7;COMBUSTÍVEIS P/ GERAÇAO VAPOR;1;COMBUSTIVEL VEGETAL           ;0;272,2494908;0;;;;;;
