Cd Filial;Nm Filial;Nm Grupo;Nm Subgrupo;Nm Classe;Cod_Item;Nm Item;Local;Ds Local Estoque;m s;Qt Movimento;Vl Movimento;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;200034;ACIDO FOSFORICO 85%;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jan;2675,2;32237,39378;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;200034;ACIDO FOSFORICO 85%;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;fev;3577,95;38022,89198;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;200034;ACIDO FOSFORICO 85%;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mar;3400,91;30813,90601;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;200034;ACIDO FOSFORICO 85%;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;abr;3834,15;34739,27207;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;200034;ACIDO FOSFORICO 85%;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mai;2162,41;19592,49099;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;200034;ACIDO FOSFORICO 85%;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jun;1999,15;30501,78703;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;344447;ACIDO LATICO NATURAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jan;21,19;195,5703575;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;344447;ACIDO LATICO NATURAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;fev;0;0;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;344447;ACIDO LATICO NATURAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;abr;279,81;2437,171046;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;344447;ACIDO LATICO NATURAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mai;840,28;7318,645554;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;ACIDULANTE;344447;ACIDO LATICO NATURAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jun;0;0;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;100;LINHA DE PRODUCAO;mai;24,171;70,1494056;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;100;LINHA DE PRODUCAO;jun;81,606;249,9500737;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;100;LINHA DE PRODUCAO;jul;20,139;64,18783063;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jan;16527,88;57088,87583;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;fev;21434,37;68173,22898;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mar;24166,76;69607,84633;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;abr;22285,54;64430,54327;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mai;24220,52;70377,1706;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jun;25870,73;74309,72678;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;200050;ACUCAR SACAROSE CRISTAL;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jul;8356,76;23887,90379;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;562926;ACUCAR DEXTROSE DE MILHO NAO;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jan;42,86;668,440274;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;562926;ACUCAR DEXTROSE DE MILHO NAO;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;fev;61,16;937,5167985;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;562926;ACUCAR DEXTROSE DE MILHO NAO;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mar;68,56;525,1181798;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;562926;ACUCAR DEXTROSE DE MILHO NAO;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;abr;64,42;486,7388083;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;562926;ACUCAR DEXTROSE DE MILHO NAO;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mai;85,2;532,280555;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;562926;ACUCAR DEXTROSE DE MILHO NAO;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jun;513,8;3065,984454;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;A«UCAR;573625;DEXTROSE MONO HIDRATADA;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jun;71,61;700,1553174;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;AMIDO;11633;FECULA DE MANDIOCA;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;jan;3451,71;10181,4767;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;AMIDO;11633;FECULA DE MANDIOCA;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;fev;2636,22;7852,895418;
704;ROLANDIA - AB. AVES;MATE.PRIMA / INSUMOS;ADITIVOS E CONDIMENTOS;AMIDO;11633;FECULA DE MANDIOCA;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;mar;1651,02;5587,977338;
