CD Empresa;CD Filial;Nome Filial;Diretoria;CD Local Estoque;DS Local Estoque;Tipo Local;CD Item;Item;QT Saldo Atual;Valor Saldo Atual;Subgrupo;Subgrupo Resumido;Status;Tempo Sem Consumo;CONTAGEM
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;112303;"SINALIZADOR;LENTE REDONDA;VE";1;1110,15;PECAS REPOSICAO ELETRICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;127518;"EMENDA P/EST MET;ENG;AISI304";10;718,3;PECAS REPOSICAO MECANICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;133393;"BICO GRAXEIRO;ANGULAR 90GR;1";105;1616,538;PECAS REPOSICAO HIDRAULICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;176909;"BICO GRAXEIRO;ANGULAR 45GR;1";130;1992,12;PECAS REPOSICAO HIDRAULICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;187974;"EMENDA P/EST MET;CLIP;AISI30";10;351,65;PECAS REPOSICAO MECANICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;215696;"SINALIZADOR;LENTE REDONDA;VE";1;1472,32;PECAS REPOSICAO ELETRICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;222675;"BICO GRAXEIRO;ANGULAR 90GR;1";105;2119,404;PECAS REPOSICAO HIDRAULICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;225325;"BICO GRAXEIRO;ANGULAR 45GR;1";105;2118,228;PECAS REPOSICAO HIDRAULICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;269737;"GERADOR DE VACUO;PIAB/012203";1;1192,93;PECAS REPOSICAO MECANICA;MANUTENÇÃO;SEM CONSUMO;720;1
30;704;Rolandia - Ab. Aves;In Natura 3;602;MANUTENÇÃO;ROTATIVO;359359;ANEL ELASTICO FURO NORMATIZA;1;0,72;PECAS REPOSICAO MECANICA;MANUTENÇÃO;SEM CONSUMO;720;1
