cod_filial;nome_filial;LC_ESTOQUE;NOME_ESTOQUE;cod_item;nome_item;prateleira;divisao;reparticao;EST_MAX;EST_MIN;lead_time;cod_fornecedor;equipamento;especificacao;locais_aplicacao
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;12538;SACO C/IMP MATERIAL POLIPROP;B5;2;1;2500;1250;45 DIAS;;;SACO CIMP MATERIAL POLIPROPILENO FUNDO CFUNDO QUADRADO SOLDA LATERAL  FUNDO COR INCOLOR LARGURA 16800MM COMPRIMENTO 35000MM ESPESSURA 010MM;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;21715;SEQUESTRANTE AZ-1130 KURITA;Q3;1;1;300;100;45 DIAS;;;SEQUESTRANTE DUREZA PCALDEIRA AZ1130 KURITA MACEDO;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;62188;INIBIDOR CORROSAO/INCRUSTACA;6;11;1;36;12;45 DIAS;;;INIBIDOR CORROSAOINCRUSTACAO KURITA KURITA BC695;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;65143;ANTI OX COMP BHA BHT;1;12;1;3000;1000;45 DIAS;;;RENDOX AT 20 LIQUIDO HIDROXIDO DE ANIZOLA BUTILADO BHA HIDROXIDO DE TOLUENO BUTILADO BHT OLEO VEGETAL;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;67501;REDOX LIQUID AD;;;;;;45 DIAS;;;COADJUVANTE DE PRODUCAO;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;67633;ANTI-INCRUSTANTE LIQUIDO 50L;;;;;;45 DIAS;;;ANTIINCRUSTANTE LIQUIDO AZUL PH 20 A 40 BOMBONA 50L PERPLUS AL3100  PERMUTION;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;83308;SEQUESTRANTE DE CLORO;;;;;;45 DIAS;;;SEQUESTRANTE DE CLORO PARA SISTEMA DE OSMOSE REVERSA KURIVERTER AC427 COD 1409 EMBALAGEM DE 50LT;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;84119;METHANO PRO S63;;;;;;45 DIAS;;;METHANO PRO S63;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;220280;ALCOOL 70%;C1;2;1;40;20;45 DIAS;;;ALCOOL 70;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;254275;"DETERGENTE;ECOLAB/ULTRA WARE";;;;;;45 DIAS;;;DETERGENTEECOLABULTRA WAREWASH;
516;ROLANDIA - FFO;1;PRODUTOS QUIMICOS;286389;SODA CAUSTICA 50%;Q5;1;1;1200;200;45 DIAS;;;SODA CAUSTICA 50;
