cod_item;saldo_atual;valor_total
8282;0;0
8299;0;0
9124;0;0
9125;0;0
9223;0;0
10229;0;0
10554;0;0
15715;80000;11141,91
19808;0;0
20143;0;0
21782;0;0
21821;0;0
21889;0;0
22038;0;0
22156;0;0
22157;0;0
22158;0;0
22159;0;0
22161;0;0
22177;0;0
22282;0;0
22290;0;0
22291;0;0
22294;0;0
22304;9000;470,26026
22307;292000;10339,18829
22348;2750;1321,904375
22353;0;0
22356;0;0
22358;0;0
22359;0;0
22380;0;0
22382;0;0
22386;0;0
22387;0;0
22402;0;0
22404;0;0
22406;0;0
22414;7047;4206,874877
22427;0;0
22449;0;0
22450;0;0
22466;0;0
22469;0;0
22472;0;0
22502;0;0
22503;0;0
22515;0;0
22517;15500;15311,24002
22522;0;0
22541;0;0
22542;0;0
22545;0;0
22547;0;0
22548;0;0
22552;0;0
22558;0;0
22563;0;0
22566;0;0
22569;0;0
22571;0;0
22577;0;0
22580;0;0
22581;0;0
22582;0;0
22583;0;0
22584;0;0
22585;0;0
22587;0;0
22589;0;0
22590;0;0
22591;0;0
22592;0;0
22593;0;0
22595;0;0
22596;0;0
22606;0;0
22609;0;0
22613;0;0
22614;0;0
22617;0;0
22628;0;0
22637;0;0
22750;0;0
22766;0;0
24131;0;0
24947;0;0
26643;33210;25932,91721
26682;0;0
55122;15360;22791,2082
55160;0;0
55161;0;0
55566;0;0
56815;0;0
59166;0;0
59882;0;0
61105;0;0
62900;0;0
63116;58585;24831,44477
63143;3000;75299,44
63157;0;0
63171;16000;2784,716
63262;0;0
63464;0;0
63467;0;0
63469;0;0
63470;0;0
63472;0;0
63485;0;0
64079;0;0
64080;0;0
64081;0;0
64082;0;0
64083;0;0
64085;0;0
64086;0;0
64087;0;0
64088;0;0
64160;0;0
64197;0;0
64624;0;0
64674;849,828;30661,16523
64911;0;0
65194;0;0
65195;0;0
65286;0;0
65426;0;0
65464;0;0
65931;0;0
65981;16143;18855,8408
66174;0;0
66563;0;0
66712;0;0
66774;0;0
67044;62000;12085,19412
67045;0;0
67106;0;0
67107;0;0
67131;15000;200,04875
67143;55086;18392,77265
67279;0;0
67362;0;0
67382;0;0
67383;0;0
67464;25849;37594,24509
67551;0;0
67747;0;0
67748;0;0
67749;0;0
67751;0;0
67752;0;0
67753;0;0
67859;3739,159;100896,6276
67867;100100;23959,77637
67923;0;0
67929;158,554;4933,348029
67942;18504;26133,7207
67947;225,752;5524,771863
67948;502,4095;14591,8137
68238;465,239;13602,80538
68239;0;0
68282;0;0
68283;0;0
68286;0;0
68287;0;0
68354;0;0
68355;0;0
68717;0;0
68727;0;0
68728;0;0
68729;0;0
68731;0;0
68732;0;0
68847;0;0
69012;0;0
69037;0;0
69050;2005,45;71567,91623
69064;20000;858,2880285
69065;15000;638,55
69066;20000;917,3
69067;50000;2419,5687
69068;150000;6284,56607
69069;15000;690,3873
69070;10000;436,83041
69071;35000;1561,07452
69073;10000;423,975
69074;122959;35577,7255
69220;1090,228;28462,95223
69222;826,366;18941,31126
69231;35000;1489,05355
69233;20000;1080,17096
69240;14000;710,10774
69352;0;0
69356;0;0
69357;0;0
69381;298,355;5836,166445
69383;628,9629;12435,81904
69384;186,386;5039,210463
